ANO,MES,UF,ARMA,MARCA,CALIBRE,TIPO,TOTAL
2023,10,AC,Espingarda,BOITO (E.R. AMANTINO & CIA),.32,Extravio/Perda de Arma de Fogo,1
2023,10,AC,Pistola,TAURUS ARMAS S.A.,.380,Furto de Arma de Fogo,2
2023,10,AC,Pistola,TAURUS ARMAS S.A.,9 mm,Furto de Arma de Fogo,1
2023,10,AC,Revolver,TAURUS ARMAS S.A.,.22 LR,Extravio/Perda de Arma de Fogo,1
2023,10,AL,Pistola,TAURUS ARMAS S.A.,9 mm,Extravio/Perda de Arma de Fogo,1
2023,10,AL,Pistola,TAURUS ARMAS S.A.,9 mm,Roubo de Arma de Fogo,1
2023,10,AM,Espingarda,CBC (COMPANHIA BRASILEIRA DE CARTUCHOS),16,Extravio/Perda de Arma de Fogo,1
2023,10,AM,Pistola,TAURUS ARMAS S.A.,.380,Furto de Arma de Fogo,1
2023,10,AM,Pistola,TAURUS ARMAS S.A.,9 mm,Furto de Arma de Fogo,1
2023,10,BA,Pistola,TAURUS ARMAS S.A.,.40 S&W,Furto de Arma de Fogo,1
2023,10,CE,Revolver,ROSSI (AMADEO ROSSI S.A.),.38,Apreensão de Arma de Fogo,1
2023,10,CE,Revolver,TAURUS ARMAS S.A.,.38,Apreensão de Arma de Fogo,1
2023,10,ES,Pistola,TAURUS ARMAS S.A.,.380 ACP,Furto de Arma de Fogo,1
2023,10,ES,Pistola,TAURUS ARMAS S.A.,.40 S&W,Furto de Arma de Fogo,1
2023,10,ES,Pistola,TAURUS ARMAS S.A.,9 mm,Furto de Arma de Fogo,2
2023,10,GO,Carabina,ITAJUBÁ (FÁBRICA DE ITAJUBÁ),.22 LR,Furto de Arma de Fogo,1
2023,10,GO,Pistola,IWI,9 mm,Extravio/Perda de Arma de Fogo,1
2023,10,GO,Pistola,TAURUS ARMAS S.A.,.380,Apreensão de Arma de Fogo,1
2023,10,GO,Pistola,TAURUS ARMAS S.A.,9x19mm,Apreensão de Arma de Fogo,1
2023,10,MA,Pistola,TAURUS ARMAS S.A.,.40 S&W,Furto de Arma de Fogo,1
2023,10,MG,Espingarda,BOITO (E.R. AMANTINO & CIA),20,Roubo de Arma de Fogo,1
2023,10,MG,Pistola,TAURUS ARMAS S.A.,9 mm,Apreensão de Arma de Fogo,1
2023,10,MS,Espingarda,BOITO (E.R. AMANTINO & CIA),20,Furto de Arma de Fogo,1
2023,10,MT,Pistola,TAURUS ARMAS S.A.,9 mm,Furto de Arma de Fogo,2
2023,10,MT,Rifle,CBC (COMPANHIA BRASILEIRA DE CARTUCHOS),.22,Furto de Arma de Fogo,1
2023,10,MT,Rifle,CBC (COMPANHIA BRASILEIRA DE CARTUCHOS),.22 LR,Extravio/Perda de Arma de Fogo,1
2023,10,PA,Pistola,GLOCK,9x19mm,Recuperação de Arma de Fogo,1
2023,10,PA,Pistola,TAURUS ARMAS S.A.,.45 ACP,Furto de Arma de Fogo,1
2023,10,PA,Pistola,TAURUS ARMAS S.A.,9 mm,Roubo de Arma de Fogo,1
2023,10,PE,Espingarda,ROSSI (AMADEO ROSSI S.A.),.32,Roubo de Arma de Fogo,1
2023,10,PE,Pistola,GLOCK,.380,Roubo de Arma de Fogo,1
2023,10,PE,Pistola,TAURUS ARMAS S.A.,.380,Extravio/Perda de Arma de Fogo,1
2023,10,PE,Pistola,TAURUS ARMAS S.A.,9 mm,Furto de Arma de Fogo,1
2023,10,PI,Pistola,TAURUS ARMAS S.A.,.380,Apreensão de Arma de Fogo,1
2023,10,PI,Pistola,TAURUS ARMAS S.A.,.380 ACP,Apreensão de Arma de Fogo,1
2023,10,PI,Pistola,TAURUS ARMAS S.A.,9 mm,Furto de Arma de Fogo,1
2023,10,PR,Carabina,TAURUS ARMAS S.A.,.22 LR,Roubo de Arma de Fogo,1
2023,10,PR,Carabina,WINCHESTER,.44 Magnum,Roubo de Arma de Fogo,1
2023,10,PR,Pistola,TAURUS ARMAS S.A.,.380,Apreensão de Arma de Fogo,1
2023,10,PR,Pistola,TAURUS ARMAS S.A.,.380 ACP,Furto de Arma de Fogo,1
2023,10,PR,Pistola,TAURUS ARMAS S.A.,9 mm,Furto de Arma de Fogo,3
2023,10,PR,Pistola,TAURUS ARMAS S.A.,9 mm,Roubo de Arma de Fogo,2
2023,10,PR,Pistola,WALTHER (CARL WALTHER GMBH SPORTWAFFEN),.380,Roubo de Arma de Fogo,1
2023,10,PR,Revolver,TAURUS ARMAS S.A.,.38,Apreensão de Arma de Fogo,1
2023,10,RJ,Pistola,TAURUS ARMAS S.A.,9 mm,Furto de Arma de Fogo,1
2023,10,RJ,Pistola,TAURUS ARMAS S.A.,9 mm,Recuperação de Arma de Fogo,1
2023,10,RN,Pistola,TAURUS ARMAS S.A.,9 mm,Furto de Arma de Fogo,1
2023,10,RN,Revolver,TAURUS ARMAS S.A.,.38,Apreensão de Arma de Fogo,1
2023,10,RS,Carabina,ROSSI (AMADEO ROSSI S.A.),.38,Apreensão de Arma de Fogo,2
2023,10,RS,Espingarda,ARMSCOR,28,Furto de Arma de Fogo,1
2023,10,RS,Espingarda,BOITO (E.R. AMANTINO & CIA),.32,Apreensão de Arma de Fogo,1
2023,10,RS,Espingarda,BOITO (E.R. AMANTINO & CIA),.32,Furto de Arma de Fogo,2
2023,10,RS,Espingarda,BOITO (E.R. AMANTINO & CIA),12,Apreensão de Arma de Fogo,4
2023,10,RS,Espingarda,BOITO (E.R. AMANTINO & CIA),12,Furto de Arma de Fogo,3
2023,10,RS,Espingarda,BOITO (E.R. AMANTINO & CIA),20,Apreensão de Arma de Fogo,5
2023,10,RS,Espingarda,BOITO (E.R. AMANTINO & CIA),20,Furto de Arma de Fogo,2
2023,10,RS,Espingarda,BOITO (E.R. AMANTINO & CIA),28,Apreensão de Arma de Fogo,2
2023,10,RS,Espingarda,BOITO (E.R. AMANTINO & CIA),28,Furto de Arma de Fogo,1
2023,10,RS,Espingarda,BOITO (E.R. AMANTINO & CIA),36,Apreensão de Arma de Fogo,1
2023,10,RS,Espingarda,BOITO (E.R. AMANTINO & CIA),36,Furto de Arma de Fogo,1
2023,10,RS,Espingarda,CBC (COMPANHIA BRASILEIRA DE CARTUCHOS),.32,Furto de Arma de Fogo,1
2023,10,RS,Espingarda,CBC (COMPANHIA BRASILEIRA DE CARTUCHOS),.40 S&W,Furto de Arma de Fogo,1
2023,10,RS,Espingarda,CBC (COMPANHIA BRASILEIRA DE CARTUCHOS),12,Apreensão de Arma de Fogo,2
2023,10,RS,Espingarda,CBC (COMPANHIA BRASILEIRA DE CARTUCHOS),36,Apreensão de Arma de Fogo,1
2023,10,RS,Espingarda,CBC (COMPANHIA BRASILEIRA DE CARTUCHOS),36,Arrecadação,1
2023,10,RS,Espingarda,MOSSBERG (O.F. MOSSBERG & SONS),12,Roubo de Arma de Fogo,1
2023,10,RS,Espingarda,ROSSI (AMADEO ROSSI S.A.),.32,Apreensão de Arma de Fogo,1
2023,10,RS,Espingarda,ROSSI (AMADEO ROSSI S.A.),.32,Campanha do Desarmamento,1
2023,10,RS,Espingarda,ROSSI (AMADEO ROSSI S.A.),28,Apreensão de Arma de Fogo,1
2023,10,RS,Espingarda,ROSSI (AMADEO ROSSI S.A.),28,Extravio/Perda de Arma de Fogo,2
2023,10,RS,Espingarda,ROSSI (AMADEO ROSSI S.A.),36,Apreensão de Arma de Fogo,2
2023,10,RS,Espingarda,ROSSI (AMADEO ROSSI S.A.),36,Sub Judice,1
2023,10,RS,Pistola,BERETTA,"6,35mm",Furto de Arma de Fogo,1
2023,10,RS,Pistola,GLOCK,.380,Furto de Arma de Fogo,2
2023,10,RS,Pistola,GLOCK,.380,Recuperação de Arma de Fogo,1
2023,10,RS,Pistola,STOEGER (STOEGER INDUSTRIES),9x19mm,Apreensão de Arma de Fogo,1
2023,10,RS,Pistola,TAURUS ARMAS S.A.,.380,Apreensão de Arma de Fogo,2
2023,10,RS,Pistola,TAURUS ARMAS S.A.,.380,Furto de Arma de Fogo,3
2023,10,RS,Pistola,TAURUS ARMAS S.A.,.380 ACP,Apreensão de Arma de Fogo,1
2023,10,RS,Pistola,TAURUS ARMAS S.A.,.380 ACP,Furto de Arma de Fogo,2
2023,10,RS,Pistola,TAURUS ARMAS S.A.,"7,65mm",Apreensão de Arma de Fogo,1
2023,10,RS,Pistola,TAURUS ARMAS S.A.,9 mm,Apreensão de Arma de Fogo,2
2023,10,RS,Pistola,TAURUS ARMAS S.A.,9 mm,Extravio/Perda de Arma de Fogo,2
2023,10,RS,Pistola,TAURUS ARMAS S.A.,9 mm,Furto de Arma de Fogo,4
2023,10,RS,Revolver,HO,.38,Apreensão de Arma de Fogo,1
2023,10,RS,Revolver,ROSSI (AMADEO ROSSI S.A.),.22 LR,Apreensão de Arma de Fogo,1
2023,10,RS,Revolver,ROSSI (AMADEO ROSSI S.A.),.32,Apreensão de Arma de Fogo,2
2023,10,RS,Revolver,ROSSI (AMADEO ROSSI S.A.),.32,Arrecadação,1
2023,10,RS,Revolver,ROSSI (AMADEO ROSSI S.A.),.38,Apreensão de Arma de Fogo,8
2023,10,RS,Revolver,ROSSI (AMADEO ROSSI S.A.),.38,Extravio/Perda de Arma de Fogo,1
2023,10,RS,Revolver,ROSSI (AMADEO ROSSI S.A.),.38,Furto de Arma de Fogo,1
2023,10,RS,Revolver,ROSSI (AMADEO ROSSI S.A.),.38 SPL,Extravio/Perda de Arma de Fogo,1
2023,10,RS,Revolver,"SMITH & WESSON (S&W, SMITH AND WESSON)",.32,Apreensão de Arma de Fogo,1
2023,10,RS,Revolver,TANQUE,.38,Apreensão de Arma de Fogo,1
2023,10,RS,Revolver,TAURUS ARMAS S.A.,.32,Apreensão de Arma de Fogo,1
2023,10,RS,Revolver,TAURUS ARMAS S.A.,.32,Furto de Arma de Fogo,1
2023,10,RS,Revolver,TAURUS ARMAS S.A.,.357 Mag,Apreensão de Arma de Fogo,1
2023,10,RS,Revolver,TAURUS ARMAS S.A.,.357 Mag,Furto de Arma de Fogo,1
2023,10,RS,Revolver,TAURUS ARMAS S.A.,.38,Apreensão de Arma de Fogo,4
2023,10,RS,Revolver,TAURUS ARMAS S.A.,.38,Furto de Arma de Fogo,3
2023,10,RS,Revolver,TAURUS ARMAS S.A.,.38,Recuperação de Arma de Fogo,1
2023,10,RS,Revolver,TAURUS ARMAS S.A.,.38,Roubo de Arma de Fogo,1
2023,10,RS,Revolver,TAURUS ARMAS S.A.,.38 SPL,Apreensão de Arma de Fogo,2
